timestamp_local,timestamp_utc,facility_id,facility_name,location_id,location_name,is_closed,last_count,total_capacity,occupancy_pct,last_updated_api,source_url
2026-05-30T20:40:09-05:00,2026-05-31T01:40:09+00:00,1314,Student Recreation Center,6627,SRC Weight Room,false,10,135,7.4,2026-05-30T16:13:34.043,https://goboardapi.azurewebsites.net/api/FacilityCount/GetCountsByAccount?AccountAPIKey=af686e9b-7ace-49a0-b6b5-af09c7a4278b
2026-05-30T20:40:09-05:00,2026-05-31T01:40:09+00:00,1314,Student Recreation Center,6628,SRC Cardio,false,6,80,7.5,2026-05-30T16:13:34.763,https://goboardapi.azurewebsites.net/api/FacilityCount/GetCountsByAccount?AccountAPIKey=af686e9b-7ace-49a0-b6b5-af09c7a4278b
2026-05-30T20:40:09-05:00,2026-05-31T01:40:09+00:00,1314,Student Recreation Center,10605,"Resistance Training Room, ""RTR""",false,1,20,5.0,2026-05-30T16:13:35.7,https://goboardapi.azurewebsites.net/api/FacilityCount/GetCountsByAccount?AccountAPIKey=af686e9b-7ace-49a0-b6b5-af09c7a4278b
2026-05-30T20:40:09-05:00,2026-05-31T01:40:09+00:00,1314,Student Recreation Center,6866,Indoor Pool,false,0,150,0.0,2026-05-30T16:13:36.387,https://goboardapi.azurewebsites.net/api/FacilityCount/GetCountsByAccount?AccountAPIKey=af686e9b-7ace-49a0-b6b5-af09c7a4278b
2026-05-30T20:40:09-05:00,2026-05-31T01:40:09+00:00,1314,Student Recreation Center,6861,SRC South Gym,false,0,455,0.0,2026-05-30T16:13:37.09,https://goboardapi.azurewebsites.net/api/FacilityCount/GetCountsByAccount?AccountAPIKey=af686e9b-7ace-49a0-b6b5-af09c7a4278b
2026-05-30T20:40:09-05:00,2026-05-31T01:40:09+00:00,1314,Student Recreation Center,6862,SRC North Gym,false,3,510,0.6,2026-05-30T16:13:37.777,https://goboardapi.azurewebsites.net/api/FacilityCount/GetCountsByAccount?AccountAPIKey=af686e9b-7ace-49a0-b6b5-af09c7a4278b
2026-05-30T20:40:09-05:00,2026-05-31T01:40:09+00:00,1314,Student Recreation Center,6625,Tennis Courts,false,0,150,0.0,2026-05-30T16:13:40.793,https://goboardapi.azurewebsites.net/api/FacilityCount/GetCountsByAccount?AccountAPIKey=af686e9b-7ace-49a0-b6b5-af09c7a4278b
2026-05-30T20:40:09-05:00,2026-05-31T01:40:09+00:00,1314,Student Recreation Center,6864,SRC Racquetball Courts,false,0,36,0.0,2026-05-30T16:13:41.513,https://goboardapi.azurewebsites.net/api/FacilityCount/GetCountsByAccount?AccountAPIKey=af686e9b-7ace-49a0-b6b5-af09c7a4278b
2026-05-30T20:40:09-05:00,2026-05-31T01:40:09+00:00,1402,Witt Center,6632,Witt Basketball Courts,true,0,75,0.0,2026-05-09T16:23:26.687,https://goboardapi.azurewebsites.net/api/FacilityCount/GetCountsByAccount?AccountAPIKey=af686e9b-7ace-49a0-b6b5-af09c7a4278b
2026-05-30T20:40:09-05:00,2026-05-31T01:40:09+00:00,1402,Witt Center,6636,Witt Weight Room,true,0,100,0.0,2026-05-09T16:23:27.297,https://goboardapi.azurewebsites.net/api/FacilityCount/GetCountsByAccount?AccountAPIKey=af686e9b-7ace-49a0-b6b5-af09c7a4278b
